uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
50b07d217ccc0deb253f0e48e2ebb3e4,"     Por Carlos Burgueño  cburgueno@ambito.com.ar  Las partes están preparadas, y sólo falta poner la fecha y la modalidad de la visita. El Fondo Monetario Internacional (FMI) confirmará en los próximos días, el momento exacto en que los técnicos del organismo llegarán a Buenos Aires, para avanzar en la primera de 11 misiones comprometidas y correspondientes a la firma del acuerdo de Facilidades Extendidas aprobado el 25 de marzo pasado. Y junto con las fechas, informará a Buenos Aires lo más importante y políticamente complicado: el listado de funcionarios del Ejecutivo (y autónomos) que los responsables de la misión fiscalizarán durante su viaje, algunos de los cuales (quizá muchos) están en contra del acuerdo en general. La esperanza del Ejecutivo es que este primer control se convierta en una especie de round de estudio y que no determine conflictos derivados de incumplimientos de las metas fiscales, macroeconómicas y monetarias pactadas antes de la firma del acuerdo; alguna de las cuales hoy quedaron sepultadas por la realidad. Especialmente la que pronosticaba una inflación del 48% para este año. Lo que se espera para este viaje, es que los responsables finales simplemente tomen nota de la marcha de las variables y que sólo sirvan como punto de partida para renegociar cuando también estén sobre la mesa los números y porcentajes correspondientes a la segunda misión; la que debería concretarse en agosto. En teoría, y según lo que se espera en todo el gobierno nacional, cuando la inflación esté en baja. O al menos no arroje resultados de 6% mensual de incremento.","Alberto Fernández y Guzmán esperan, confiados, la primera misión del FMI",https://www.ambito.com/economia/fmi/alberto-fernandez-y-guzman-esperan-confiados-la-primera-mision-del-n5429400,ambito,www.ambito.com,8,119
c33d8413edce443c04ff12a41394c801,"  Los teléfonos móviles del presidente de España,  Pedro Sánchez, y su ministra de Defensa, Margarita Robles, fueron objeto de  escuchas ""ilegales"" y ""externas"" a través del programa informático israelí Pegasus, afirmó el lunes el gobierno español.","España denuncia que el teléfono de Pedro Sánchez fue objeto de ""escuchas ilegales y externas""",https://www.ambito.com/mundo/pedro-sanchez/espana-denuncia-que-el-telefono-fue-objeto-escuchas-ilegales-y-externas-n5429477,ambito,www.ambito.com,9,23
3981bf3ea873cf806fb20d919b6a0692,"     Por Rocío Robledo   La forma obsoleta y tradicional bajo la que llevamos trabajando durante casi tres siglos, puntualmente desde la Revolución Industrial, está llegando a su fin. A medida que el proceso de vacunación avanza, llegando al 81.97% de la población con dos dosis aplicadas en Argentina según el Ministerio de Salud, las personas retoman actividades diarias y las empresas y sus colaboradores regresan gradualmente a las rutinas prepandémicas. Si 2020 fue el año de las oficinas remotas, este 2022 le dará la bienvenida al trabajo híbrido.","300 años sin cambios: ""adiós"" al modelo de trabajo que nos dejó la revolución industrial",https://www.ambito.com/opiniones/empleo/300-anos-cambios-adios-al-modelo-trabajo-que-nos-dejo-la-revolucion-industrial-n5428231,ambito,www.ambito.com,8,47
61a17422711347bad2655de210a78f2a,"   Netflix continúa modificando sus valores en Argentina y cada vez que lo anuncia, es un dolor de cabeza para todos los usuarios que día a día disfrutan de la plataforma de streaming líder del mercado. ",Malas noticias para los fanáticos de Netflix: aumentará hasta un 27%,https://www.ambito.com/economia/netflix/malas-noticias-los-fanaticos-aumentara-un-27-n5429070,ambito,www.ambito.com,5,18
1c011408ef93bb1b91b3829f80acf324,"  El actor estadounidense Robert De Niro llegó ayer a Argentina de cara a su participación en el rodaje de ""Nada"", la serie de Mariano Cohn y Gastón Duprat protagonizada por Luis Brandoni que podrá verse el año que viene en Star+.",Robert De Niro ya está en Argentina para filmar con Luis Brandoni,https://www.ambito.com/espectaculos/serie/robert-niro-ya-esta-argentina-filmar-luis-brandoni-n5429394,ambito,www.ambito.com,6,22
f04febd7d536eb015e695d1afdaa0c6e,     Por Giuliana Iglesias   La última semana de los dólares paralelos fue un sube y baja. El dólar salió del veranito cambiario del que gozó desde la firma del acuerdo con el Fondo Monetario Internacional (FMI) y jugó al amague. ¿Pero cuánto tiempo?,Dólar: los cinco factores que suman presión sobre el tipo de cambio en mayo ,https://www.ambito.com/finanzas/dolar/los-cinco-factores-que-suman-presion-el-tipo-cambio-mayo-n5429167,ambito,www.ambito.com,8,19
3b9f252a91f53aa05f7a9a079cdfde72,"     Por Mariana Leiva    La edición Hot Sale 2022 se llevará a cabo entre el 30 de mayo y 1° de junio, por lo que ya muchas empresas comenzaron a analizar el comportamiento de sus clientes de manera de optimizar su presencia digital con el objetivo de potenciar sus ventas en esa nueva temporada de descuentos.",Hot Sale: ¿Cómo será el comportamiento de los consumidores este año?,https://www.ambito.com/economia/hot-sale/como-sera-el-comportamiento-los-consumidores-este-ano-n5424529,ambito,www.ambito.com,5,25
5a4f28b4e9b1e60768fe0f83530abf66,"   El argentino Sebastián Báez ganó este domingo su primer título en el circuito mayor del tenis, al vencer al estadounidense Frances Tiafoe 6-3 y 6-2 en la final del ATP de Estoril, en Portugal. ",El argentino Sebastián Báez se coronó campeón en Estoril,https://www.ambito.com/deportes/estoril/el-argentino-sebastian-baez-se-corono-campeon-n5429165,ambito,www.ambito.com,6,18
f925ee743f12ac63d50eb06603413f16,"  Con mucho frío y nevadas tempranas, varias reuniones se trasladaron al sur (Neuquén, y Llao Llao en Río Negro), y por eso vinieron muchos quinchos de nieve, con empresarios y políticos. Pero también en Buenos Aires hubo encuentros varios. Reaparecieron Alberto Fernández y el encargado de los precios, Roberto Feletti. Se recalientan más las internas. Un 1 de Mayo en domingo, y con faltazo de la CGT. Actos por los 169 años de la Constitución Nacional en Santa Fe. Otra vez el dólar alterado, una especie de escandalete diplomático con desmentidas y acusaciones cruzadas, y varios chimentos más. Veamos.",Charlas de quinchos,https://www.ambito.com/politica/charlas-quincho/s-n5429439,ambito,www.ambito.com,2,51
9273d5cca74285eed53673de53e9b012,"  La creación de empleo privado acumuló un crecimiento de 13 meses consecutivos entre diciembre 2020 y enero 2022, según los registros del Sistema Integrado Previsional Argentino (SIPA), con tasas que alcanzaron niveles de hasta el 0,5% mensual entre noviembre y enero pasado, debido al proceso de expansión de la economía de los últimos años, indicó un informe del Ministerio de Trabajoe",La creación de empleo privado tuvo un crecimiento durante 13 meses consecutivos,https://www.ambito.com/informacion-general/empleo/la-creacion-privado-tuvo-un-crecimiento-13-meses-consecutivos-n5428721,ambito,www.ambito.com,6,33
595ab054d7d86384acd652dbeb77e3dd,"   Divididos, Nathy Peluso, Los Auténticos Decadentes y Catupecu Machu se repartieron ayer los protagonismos en la segunda y última jornada del Quilmes Rock, en el predio de Tecnópolis, lo que le otorgó un carácter fiestero y demoledor, en similares dosis, a ese cierre. ","Entre ""aplanadoras"" y papel picado, el Quilmes Rock tuvo un intenso cierre de su edición del regreso",https://www.ambito.com/espectaculos/rock/entre-aplanadoras-y-papel-picado-el-quilmes-tuvo-un-intenso-cierre-su-edicion-del-regreso-n5429460,ambito,www.ambito.com,9,24
1b6d050588fe062cad00901255b0dc1f,"  Tras quedarse a las puertas del balotaje en la elección presidencial en Francia, los partidos de  izquierda intensificaron este lunes sus esfuerzos para presentarse ahora juntos a las legislativas de junio e intentar condicionar las políticas del mandatario reelecto, el liberal Emmanuel Macron. ",Francia: la izquierda entabla duras negociaciones para formar un frente en las legislativas,https://www.ambito.com/mundo/francia/la-izquierda-entabla-duras-negociaciones-formar-un-frente-las-legislativas-n5429524,ambito,www.ambito.com,8,25
189c42a11bde1f32d4788263b0371bfa,"   Con el emblemático Día del Trabajador como telón de fondo, cuatro gobernadores dieron este domingo el puntapié inicial a las sesiones ordinarias en sus provincias y completaron así la grilla de aperturas parlamentarias 2022. Fue con un mix de discursos que incluyó planteos a la administración de Alberto Fernández -algunos, más ruidosos- en torno a la marcha de la economía, la política de manejo de recursos nacionales y la seguridad, y sólo un guiño explícito de agradecimiento al Presidente. ","Con balances y planteos a Nación, cuatro gobernadores abrieron sesiones",https://www.ambito.com/nacional/sesiones/con-balances-y-planteos-nacion-cuatro-gobernadores-abrieron-n5429294,ambito,www.ambito.com,7,39
5f644e7c3bdca37a1fdd271e12ba0ce0,  El teatro Bolshói de Moscú anunció la retirada de su programa de espectáculos previstos en mayo de dos directores que abandonaron Rusia y expresaron públicamente su oposición a la ofensiva en Ucrania.,Rusia: el Bolshói retira los espectáculos de dos directores críticos,https://www.ambito.com/espectaculos/rusia/el-bolshoi-retira-los-dos-directores-criticos-n5429500,ambito,www.ambito.com,7,18
2ecc775451f54c7399eea9fa9e900f2a,"   No caben dudas que el reciente comprador de Twitter, Elon Musk y el informático Bill Gates, son dos de las personas en las que muchos se inspiran a la hora de emprender, ir en busca de sus sueños y, claramente, convertirse en multimillonarios. ",Las 5 claves para descubrir si tenés la personalidad de un millonario,https://www.ambito.com/informacion-general/elon-musk/las-5-claves-descubrir-si-tenes-la-personalidad-un-millonario-n5429545,ambito,www.ambito.com,6,21
6cd9aaf9776814026366118057a60c08,"  El ministro de Asuntos Exteriores de Israel, Yair Lapid, criticó este lunes la afirmación de su homólogo ruso  Serguéi Lavrov de que Hitler ""tenía sangre judía"", y convocó al embajador ruso para pedirle ""aclaraciones"" a Moscú.","Israel condena los dichos del canciller ruso sobre que ""Hitler tenía sangre judía""",https://www.ambito.com/mundo/israel/condena-los-dichos-del-canciller-ruso-que-hitler-tenia-sangre-judia-n5429487,ambito,www.ambito.com,8,22
01784362dcbefc1a482f224dc8f69ee4,"  A fines de marzo, el diputado radical Alejandro Cacece presentó un proyecto de ley al Congreso de la Nación para dolarizar la economía. El proyecto que sólo contó con ocho artículos, generó el debate entre economistas y en la opinión pública. Si bien algunos economistas aseguran que la dolarización podría ser una forma de ""blanquear"" lo que ya sucede en la práctica, otros se manifestaron en contra de esta posibilidad por el duro impacto social que tendría realizar ese proceso. Pero la Universidad de Belgrano fue más allá y estimó a cuánto estaría el dólar si la  dolarización se llevara adelante.",Dólar: a cuánto se iría y qué pasaría con los salarios en una eventual dolarización,https://www.ambito.com/economia/dolar/cuanto-se-iria-y-que-pasaria-los-salarios-una-eventual-izacion-n5429608,ambito,www.ambito.com,7,51
